"Gene","Non.unique.Gene.name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"group_55263","flaB_3","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,2,2,0,0.5,0.5,0.0198019801980198
"group_20916","","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,2,2,0,0.5,0.5,0.0297029702970297
"group_41074--group_41077","--","hypothetical protein--Polyphosphate:AMP/ADP phosphotransferase",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,1,1,0,1,1,0.0099009900990099
"group_5970","acnD","2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,1,1,0,1,1,0.0099009900990099
"group_2148","sspH2_2","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,1,1,0,1,1,0.0099009900990099
"group_41341","","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,2,2,0,0.5,0.5,0.0198019801980198
"group_61226","","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,2,2,0,0.5,0.5,0.0099009900990099
"group_22300","","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,1,1,0,1,1,0.0495049504950495
"group_6293","","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,1,1,0,1,1,0.0099009900990099
"group_25925","","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,1,1,0,1,1,0.0099009900990099
"group_41495","","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,2,2,0,0.5,0.5,0.0099009900990099
"group_13957","","hypothetical protein",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,2,2,0,0.5,0.5,0.0099009900990099
"group_28311","menE_1","Long-chain-fatty-acid--CoA ligase FadD15",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,2,2,0,0.5,0.5,0.0198019801980198
"group_69564","rlmCD_2","23S rRNA (uracil-C(5))-methyltransferase RlmCD",67,0,1057,149,5.96085409252669,100,Inf,0.000296484981592572,1,0.000278015720992579,2,2,0,0.5,0.5,0.0099009900990099
"group_15496","caiA_5","Crotonobetainyl-CoA reductase",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_41095","ccp_3","Cytochrome c551 peroxidase",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_15817","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0297029702970297
"group_69572","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0099009900990099
"group_41404","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0495049504950495
"group_69588","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0099009900990099
"group_107333","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0198019801980198
"group_18368","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_108637","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0198019801980198
"group_47459","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0198019801980198
"group_7765","nrgA","Ammonium transporter",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_20561","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0099009900990099
"group_4843","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0396039603960396
"group_12957","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_25840","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_13145","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0198019801980198
"group_25894","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0198019801980198
"group_5869","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_8303","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_1393","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0099009900990099
"group_6012","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0099009900990099
"group_14043","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_14215","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0099009900990099
"group_68873","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0099009900990099
"group_37129","pglF","UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,2,2,0,0.5,0.5,0.0099009900990099
"group_68874","","hypothetical protein",68,0,1056,149,6.04982206405694,100,Inf,0.00030024721890575,1,0.000281215752822822,1,1,0,1,1,0.0099009900990099
"group_15565","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_6671--group_6672","--","IS630 family transposase ISDge17--IS630 family transposase ISCARN39",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0396039603960396
"group_9191","bepA_6","Beta-barrel assembly-enhancing protease",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_15690","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0099009900990099
"group_9238","tolB","Tol-Pal system protein TolB",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0099009900990099
"group_15811","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_41463","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0198019801980198
"group_69082","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0297029702970297
"group_18316","cheB_5","Protein-glutamate methylesterase/protein-glutamine glutaminase",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_69150","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0099009900990099
"group_18632","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0099009900990099
"group_69301","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_111678","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_18951","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0495049504950495
"group_47445","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0396039603960396
"group_20539","","putative monooxygenase",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_69367","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0198019801980198
"group_111726","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0198019801980198
"group_25945","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_40855--group_47778","--","hypothetical protein--hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0396039603960396
"group_69411","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_26218","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0198019801980198
"group_55154","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0198019801980198
"group_69482","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0396039603960396
"group_115116","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0297029702970297
"group_55220","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0198019801980198
"group_69525","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0198019801980198
"group_1052","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0099009900990099
"group_12119","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0396039603960396
"group_2800","bepA_9","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0099009900990099
"group_55246","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0495049504950495
"group_10651","yehL","putative protein YehL",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,1,1,0,1,1,0.0099009900990099
"group_14372","","hypothetical protein",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,3,3,0,0.25,0.25,0.0099009900990099
"group_111731--group_55297","rep--","ATP-dependent DNA helicase Rep--Polyphosphate:AMP/ADP phosphotransferase",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0396039603960396
"group_82702","trmB","tRNA (guanine-N(7)-)-methyltransferase",69,0,1055,149,6.13879003558719,100,Inf,0.000312615174660272,1,0.000292340935713241,2,2,0,0.5,0.5,0.0495049504950495
"group_152041","panS_1","Pantothenate precursors transporter PanS",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_20766","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_32856","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_54897","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0198019801980198
"group_68291","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0495049504950495
"group_15267","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0198019801980198
"group_22645","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_54935","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_1564","rcsC_3","Sensor histidine kinase RcsC",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_23091","glpK_2","Glycerol kinase",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_69310","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_16359","mmgC_2","Acyl-CoA dehydrogenase",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_23258","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_40373","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_8028","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0198019801980198
"group_23376","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_41003","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0297029702970297
"group_17062","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_25630","patA_7","Peptidoglycan O-acetyltransferase",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_41490","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_55227","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_8618","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_17210","cas3","Putative CRISPR-associated nuclease/helicase Cas3",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_41668","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0198019801980198
"group_9163","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_115636","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0198019801980198
"group_17284","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_28020","cntO","Metal-pseudopaline receptor CntO",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0198019801980198
"group_11569","sasA_5","Adaptive-response sensory-kinase SasA",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0198019801980198
"group_28316","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0198019801980198
"group_4553","rcsC_12","Sensor histidine kinase RcsC",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_58794","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,3,3,0,0.25,0.25,0.0099009900990099
"group_4583","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_596","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_6031","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_5291","fdhA","putative zinc-binding alcohol dehydrogenase",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_61670","","hypothetical protein",64,0,1060,149,5.69395017793594,100,Inf,0.000467536093706843,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_17228","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0198019801980198
"group_6593","crt_2","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,3,3,0,0.25,0.25,0.0297029702970297
"group_18119","fadA_1","3-ketoacyl-CoA thiolase",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_6607","kinB","Alginate biosynthesis sensor protein KinB",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,4,4,0,0.125,0.125,0.0099009900990099
"group_1845","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_68224","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_20829","recQ","ATP-dependent DNA helicase RecQ",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,3,3,0,0.25,0.25,0.0297029702970297
"group_32720","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_25078","ilvC","Ketol-acid reductoisomerase (NAD(+))",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_5437","trxB","Thioredoxin reductase",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_68763","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_25719","rsmE","Ribosomal RNA small subunit methyltransferase E",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_69158","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_2576","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_552","rpnA","Recombination-promoting nuclease RpnA",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_69394","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0297029702970297
"group_26751","gloB_1","Hydroxyacylglutathione hydrolase",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0198019801980198
"group_7037","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0198019801980198
"group_12748","ftsQ","Cell division protein FtsQ",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,3,3,0,0.25,0.25,0.0396039603960396
"group_29306","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,2,2,0,0.5,0.5,0.0099009900990099
"group_14545","fliI","Flagellum-specific ATP synthase",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0099009900990099
"group_46959","","hypothetical protein",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,1,1,0,1,1,0.0297029702970297
"group_4352--group_7474","btuB_2--capA","Vitamin B12 transporter BtuB--Capsule biosynthesis protein CapA",63,0,1061,149,5.60498220640569,100,Inf,0.000468795830742865,1,0.000423555522013236,4,4,0,0.125,0.125,0.0297029702970297
"group_17311","srpC","putative chromate transport protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_41451","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0198019801980198
"group_61237","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0297029702970297
"group_76337","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0198019801980198
"group_17340","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_7827","sbp_2","Sulfate-binding protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0099009900990099
"group_111478","mqnD","1,4-dihydroxy-6-naphtoate synthase",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_17388","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0198019801980198
"group_28246","bpt","Aspartate/glutamate leucyltransferase",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0198019801980198
"group_11412","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_1847","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0099009900990099
"group_32798","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_46420","yddE","putative isomerase YddE",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0099009900990099
"group_18741","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0396039603960396
"group_36162","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0099009900990099
"group_3668","thlA","Acetyl-CoA acetyltransferase",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0099009900990099
"group_47417","copA","Copper-exporting P-type ATPase",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_14162","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"liaS","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0099009900990099
"group_36737","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_47429","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_145273","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_2420","","Ice-binding protein 1",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0099009900990099
"group_36952","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0396039603960396
"group_25297","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0198019801980198
"group_41344","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_15269","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,1,1,0,1,1,0.0396039603960396
"group_41379","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0198019801980198
"group_15861","","hypothetical protein",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0099009900990099
"group_26011","inlA","Internalin A",65,0,1059,149,5.78291814946619,100,Inf,0.000479190158490085,1,0.000431681823727434,2,2,0,0.5,0.5,0.0198019801980198
